hello you how,"Hello, how are you?"
you how,How are you ?
I name ADEEBA,My name is ADEEBA.
I live mumbai,I live in Mumbai.
how you,How are you ?
you name,What is your name?
what you name,What is your name?
who you,Who are you?
hello how you,"Hello, how are you?"
good morning,Good morning.
thank you,Thank you.
I engineer,I am an Engineer.
I work engineer,I work as an engineer
I from mumbai,I am from Mumbai.
what you work,What work do you do?
what work you,What work do you do?
you from mumbai,Are you from Mumbai?
you from,Where are you from?
I fine,I am fine.
I work mumbai,I work in Mumbai.
you work mumbai,Do you work in Mumbai?
how I,How am I ?
I good,I am good. 
I okay,I am okay.
I fine how you,"I am fine, how are you ?"
I name TUBA,My name is TUBA.
I name SHAZIL,My name is SHAZIL.
hello I name ADIBA,"Hello, My name is ADIBA."
hello,HELLO. 
you okay,Are you okay?
you fine,Are you fine?
hello I engineer,"Hello, I am an engineer."
hello I live mumbai,"Hello, I live in Mumbai."
"hello, I from mumbai","Hello, I am from Mumbai."
hello I work engineer,"Hello, I work as an engineer."
good morning you,Good morning to you.
you work okay,Is your work okay?
hello I fine,"Hello, I am fine."
who engineer,Who is the engineer?
you engineer,Are you an engineer?
you live mumbai,Do you live in Mumbai?
good morning how you,"Good morning, how are you?"
you name AALIYAH,Is your name AALIYAH?
hello what you name,"Hello, what is your name?"
hello who you,"Hello, who are you?"
you name good,You have a good name.
thank you engineer,"Thank you, engineer."
what good,What is good?
you good,Are you okay?
you work,Your work
I fine live,I live fine.
engineer good,The engineer is good.
how you I fine,I am fine. How are you ?
thank you I fine,"Thank you, I am fine."
good morning I work,"Good morning, I am working."
okay thank you,"Okay, Thank you."
what you do,What do you do?
I mumbai live,I live in Mumbai.
who I,Who am I?
what I,How am I?
i fine thank you,I am fine. Thank you.
how work you,How do you work?
who you work,Who do you work with?
I mumbai live,I live in Mumbai.
iloveyou,I love you.
how you work,How is your work?
I engineer you what,"I am an Engineer, what about you?"
I name AALIYAH,My name is AALIYAH.
I name ADIBA,My name is ADIBA.
I name NAIYYAR,My name is NAIYYAR.
hello I name ADEEBA,"Hello, My name is ADEEBA."
hello I name SHAZIL,"Hello, My name is SHAZIL."
hello I name AALIYAH,"Hello, My name is AALIYAH."
hello I name NAIYYAR,"Hello, My name is NAIYYAR."
hello I name TUBA,"Hello, My name is TUBA."
you name ADIBA,Is your name ADIBA?
you name ADEEBA,Is your name ADEEBA?
you name TUBA,Is your name TUBA?
you name NAIYYAR,Is your name NAIYYAR?
you name SHAZIL,Is your name SHAZIL?
I engineer what you,"I am an Engineer, what about you?"
I engineer what work you,"I am an Engineer, what work do you do?"
how mumbai,How is Mumbai?
who work mumbai,Who works in Mumbai?
